"PwMasterVariantId";"PwShopId";"PwMasterProductId";"Exclude";"StockedDirectly";"CogsCurrencyId";"CogsAmount";"CogsDetail"
297;1;46;0;1;1;39.96;0
298;1;47;0;1;1;47.96;0
299;1;47;0;1;1;47.96;0
300;1;47;0;1;1;47.96;0
301;1;47;0;1;1;47.96;0
302;1;47;0;1;1;47.96;0
303;1;47;0;1;1;47.96;0
304;1;47;0;1;1;47.96;0
305;1;47;0;1;1;47.96;0
306;1;47;0;1;1;47.96;0
307;1;48;0;1;1;55.96;0
308;1;48;0;1;1;55.96;0
309;1;48;0;1;1;55.96;0
310;1;49;0;1;1;55.96;0
